Nuclide  InhFastEffDose[Sv/Bq] InhFastThyroid InhFastRedMarrow InhFastLung InhFastSkin ExtDepotGround[(Sv/year)/(Bq/m^2)]             
Cs-134   6.6E-09     6.3E-09     6.3E-09     0.000000006     4.4E-09     4.33E-08
Cs-135   6.9E-10     0     0     0     0     0
Cs-136   1.2E-09     0.000000001     9.8E-10     9.6E-10     6.6E-10     5.88E-08
Cs-137   4.6E-09     4.4E-09     4.4E-09     4.3E-09     3.6E-09     7.42E-11
Cs-138   2.4E-11     0     0     0     0     6.29E-08
Ba-133   1.5E-09     8E-10     4.8E-09     8.7E-10     5.6E-10     1.15E-08
Ba-137m  0     0     0     0     0     0.000000017
Ba-140   0.000000001     1.2E-10     1.4E-09     1.5E-10     1E-10     5.97E-09
La-140   5.7E-10     0     0     0     0     6.02E-08
Ce-139   1.5E-09     0     0     0     0     4.84E-09
Ce-141   9.3E-10     1.2E-10     1.5E-09     2.1E-10     1.2E-10     2.42E-09
Ce-143   2.7E-10     0     0     0     0     8.99E-09
Ce-144   0.00000004     5.5E-09     0.000000088     5.9E-09     5.5E-09     5.92E-10
Pr-143   0     0     0     0     0     6.29E-10
Pr-144m  0     0     0     0     0     2.79E-10
Pr-144   0     0     0     0     0     4.81E-09
Nd-147   0     0     0     0     0     4.35E-09
Pm-147   0     0     0     0     0     1.12E-13
Sm-147   0     0     0     0     0     0
Sm-151   0     0     0     0     0     1.48E-13
Eu-152   0     0     0     0     0     3.07E-08
Eu-154   0     0     0     0     0     3.35E-08
Gd-152   0.000019     0     0     0     0     0
Gd-153   2.1E-09     0     0     0     0     3.47E-09
Tb-160   0     0     0     0     0     2.93E-08
Ho-166m  0     0     0     0     0     4.52E-08
Er-169   0     0     0     0     0     1.45E-13
Tm-170   0     0     0     0     0     8.09E-10
Yb-169   0     0     0     0     0     9.76E-09
Lu-177   0     0     0     0     0     1.09E-09
Hf-181   1.4E-09     0     0     0     0     1.58E-08
Ta-182   0     0     0     0     0     3.37E-08
W-185    1.2E-10     0     0     0     0     1.17E-12
Re-186   5.2E-10     0     0     0     0     1.44E-09
Os-185   1.1E-09     0     0     0     0     0.00000002
Os-186   0     0     0     0     0     0
Os-191   2.5E-10     0     0     0     0     2.33E-09
Ir-192   1.8E-09     0     0     0     0     2.39E-08
Au-195   6.6E-11     0     0     0     0     2.7E-09
Au-198   2.1E-10     0     0     0     0     1.23E-08
Hg-197   5.6E-11     0     0     0     0     2.21E-09
Hg-203   4.6E-10     0     0     0     0     6.85E-09
Tl-201   4.4E-11     0     0     0     0     2.94E-09
Tl-207   0     0     0     0     0     1.7E-09
Tl-208   0     0     0     0     0     8.49E-08
Tl-209   0     0     0     0     0     5.62E-08
Tl-210   0     0     0     0     0     7.45E-08
Pb-209   1.7E-11     0     0     0     0     8.98E-11
Pb-210   0.0000009     0.00000011     0.0000032     0.00000011     0.00000011     8.47E-11
Pb-211   3.9E-09     0     0     0     0     2.87E-09
Pb-212   0.000000018     0     0     0     0     4.52E-09
Pb-214   2.8E-09     0     0     0     0     7.54E-09
Bi-210   1.1E-09     0     0     0     0     1.07E-09
Bi-211   0     0     0     0     0     1.39E-09
Bi-212   9.1E-09     0     0     0     0     6.49E-09
Bi-213   0.00000001     0     0     0     0     5.26E-09
Bi-214   7.1E-09     0     0     0     0     4.06E-08
Bi-215   0     0     0     0     0     0
Po-210   0.00000061     0.00000014     0.0000013     0.00000016     0.00000014     2.36E-13
Po-211   0     0     0     0     0     2.15E-10
Po-212   0     0     0     0     0     0
Po-213   0     0     0     0     0     8.46E-13
Po-214   0     0     0     0     0     2.31E-12
Po-215   0     0     0     0     0     4.28E-12
Po-216   0     0     0     0     0     4.01E-13
Po-218   0     0     0     0     0     0
At-217   0     0     0     0     0     6.69E-12
At-218   0     0     0     0     0     0
At-219   0     0     0     0     0     0
Rn-218   0     0     0     0     0     2.12E-11
Rn-219   0     0     0     0     0     1.69E-09
Rn-220   3.95E-08     0     0     0     0     1.47E-11
Rn-222   6.36E-09     0     0     0     0     1.1E-11
Fr-221   0     0     0     0     0     9.42E-10
Fr-223   8.9E-10     0     0     0     0     2.44E-09
Ra-223   0.00000012     0     0     0     0     4.16E-09
Ra-224   0.000000075     0.000000012     0.00000022     0.000000081     0.000000012     3.02E-10
Ra-225   0.00000013     0     0     0     0     4.16E-10
Ra-226   0.00000036     0.000000052     0.0000011     0.000000067     0.000000052     2.08E-10
Ra-228   0.0000009     0.0000002     0.000003     0.0000002     0.0000002     2.03E-17
Ac-225   0.00000088     0     0     0     0     4.56E-10
Ac-227   0.00055     0     0     0     0     5.96E-12
Ac-228   0.000000025     0     0     0     0     0.000000026
Th-227   0.00000067     0     0     0     0     3.24E-09
Th-228   0.000029     0.0000032     0.000091     0.0000032     0.0000032     7.7E-11
Th-229   0.00024     0     0     0     0     2.88E-09
Th-230   0.0001     0.0000066     0.0002     0.0000066     0.0000066     2.59E-11
Th-231   7.8E-11     0     0     0     0     5.34E-10
Th-232   0.00011     0.000017     0.00023     0.000017     0.000017     1.93E-11
Th-234   2.5E-09     3.1E-10     0.000000012     3.5E-10     3.1E-10     2.77E-10
Pa-231   0     0     0     0     0     9.87E-10
Pa-234   0     0     0     0     0     0.000000054
Pa-234m  0     0     0     0     0     3.3E-09
U-232    0.000004     0.000002     0.0000085     0.000002     0.000002     2.99E-11
U-233    0.00000058     0.00000034     0.000001     0.00000036     0.00000034     1.42E-11
U-234    0.00000056     0.00000034     0.00000099     0.00000035     0.00000034     2.35E-11
U-235    0.00000052     0.00000031     0.00000092     0.00000032     0.00000031     4.69E-09
